Title,Year,Type,IMDb Rating,Num Votes,DateAdded
Absolutely Anything,2015,Movie,6.0,47240,06 May 2015
American Reunion,2012,Movie,6.7,222523,19 Jan 2016
The Place of No Words,2019,Movie,5.5,378,22 Jul 2019
Under the Skin,2013,Movie,6.3,154881,26 Sep 2019
Match Point,2005,Movie,7.6,226515,26 Sep 2019
Ride Like a Girl,2019,Movie,7.0,4604,17 Oct 2019
Midsommar,2019,Movie,7.1,388273,08 May 2020
The Machinist,2004,Movie,7.6,411629,13 Oct 2020
Magnus,2016,Movie,7.1,2625,04 Feb 2021
The Man Who Knew Infinity,2015,Movie,7.2,61267,04 Feb 2021
The Departed,2006,Movie,8.5,1404367,04 Feb 2021
La La Land,2016,Movie,8.0,652812,04 Jul 2021
Don't Breathe 2,2021,Movie,6.0,69934,06 Jul 2021
The Edge of Seventeen,2016,Movie,7.3,138523,11 Aug 2021
Whiplash,2014,Movie,8.5,963675,11 Aug 2021
The Game,1997,Movie,7.7,423631,17 Sep 2021
The Life of David Gale,2003,Movie,7.5,125171,14 Jan 2022
Euphoria,2019,TV Series,8.3,229337,09 Feb 2022
Something Borrowed,2011,Movie,5.8,64851,03 Apr 2022
Rogue One,2016,Movie,7.8,678368,29 Jul 2022
Everything Everywhere All at Once,2022,Movie,7.8,508193,16 Nov 2022
The Town,2010,Movie,7.5,411519,28 Mar 2023
Don't Worry Darling,2022,Movie,6.3,139111,22 Jul 2023
Triple Frontier,2019,Movie,6.5,143283,21 Nov 2023
Pawn Sacrifice,2014,Movie,7.0,48804,07 Jan 2024

